Date,Close,Volume,Open,High,Low,Range,prev_day_close,vix_open,vix_close,vix_range
2023-01-24,288.37,44875150,287.31,289.55,286.78,0.9612548366387449,,,,
2023-01-23,288.96,52799910,283.54,290.21,282.73,2.61109365727649,288.37,,,
2023-01-20,282.68,60613610,276.79,283.02,275.71,2.6166484706387707,288.96,,,
2023-01-19,275.15,44150440,276.22,277.375,273.89,1.264364688489207,282.68,,,
2023-01-18,277.88,47754550,283.11,284.69,277.67,2.496621381321567,275.15,,,
2023-01-17,281.54,36269740,280.77,282.85,279.58099999999996,1.162453705432333,277.88,,,
2023-01-13,280.97,44802940,276.5,281.219,276.16,1.8152818818075203,281.54,,,
2023-01-12,279.05,60599950,278.12,280.1,273.74,2.296692185468732,280.97,,,
2023-01-11,277.55,44077040,273.92,277.66,273.12,1.648571117324529,279.05,,,
2023-01-10,272.83,35247760,269.49,272.94,268.97,1.4651879463379416,277.55,,,
2023-01-09,270.54,45568680,270.83,275.29,269.92,1.969883164285323,272.83,,,
2023-01-06,268.8,54659740,263.35,269.94,260.34,3.620728671645177,270.54,,,
2023-01-05,261.58,45396740,264.04,264.21,261.26,1.1228043465849575,268.8,,,
2023-01-04,265.74,47754860,266.64,267.45,262.53,1.8566738367485625,261.58,,,
2023-01-03,264.48,42335330,268.65,270.155,262.13,3.015301952901163,265.74,,,
2022-12-30,266.28,37858280,263.62,266.41,262.29,1.5585398146396838,264.48,,,
2022-12-29,266.44,45893570,262.96,267.405,262.25,1.9465501128092713,266.28,,,
2022-12-28,260.1,47139040,263.17,265.47,259.73,2.185833968012189,266.44,,,
2022-12-27,263.58,38009010,266.74,266.85,263.03,1.4418358873707444,260.1,,,
2022-12-23,267.36,39373580,265.47,268.04,263.53,1.696860244182346,263.58,,,
2022-12-22,266.76,60278380,270.38,270.5149,262.455,3.0245235237487242,267.36,,,
2022-12-21,273.45,46394690,270.6,274.78,269.74,1.8511716741350048,266.76,,,
