time,symbol,alert_price,alert_name,alert_type,entry_price,ITM_contract,option_entry_price
2023-03-22 12:04:00,SPX,4002.49,SPX Bull Pivot Alert: $4002.36,Bull Pivot 1,4003.62
2023-03-22 12:24:00,SPX,3995.68,SPX Bull Pivot Alert: $3996.12,Bull Pivot 1,3997.01
2023-03-22 15:07:00,SPX,3981.81,SPX Bull Pivot Alert: $3984.02,Bull Pivot 1,3986.76
2023-03-22 15:14:00,SPX,3979.66,SPX Bull Pivot Alert: $3975.27,Bull Pivot 1,3980.79
2023-03-24 10:46:00,SPX,3926.27,SPX Bull Pivot Alert: $3926.0,Bull Pivot 4,3928.72
2023-03-24 10:49:00,SPX,3924.27,SPX Bull Pivot Alert: $3925.07,Bull Pivot 1,3927.89
2023-03-24 11:13:00,SPX,3914.45,SPX Bull Pivot Alert: $3914.83,Bull Pivot 1,3917.76
2023-03-24 11:34:00,SPX,3920.52,SPX Bull Pivot Alert: $3918.99,Bull Pivot 1,3921.09
2023-03-24 15:12:00,SPX,3956.61,SPX Bull Pivot Alert: $3955.64,Bull Pivot 7,3959.72
2023-03-27 11:58:00,SPX,3973.38,SPX Bull Pivot Alert: $3970.49,Bull Pivot 1,3974.9
2023-03-27 13:00:00,SPX,3977.44,SPX Bull Pivot Alert: $3977.38,Bull Pivot 1,3978.83
2023-03-27 13:20:00,SPX,3977.75,SPX Bull Pivot Alert: $3976.36,Bull Pivot 7,3979.52
2023-03-27 14:11:00,SPX,3980.48,SPX Bull Pivot Alert: $3979.77,Bull Pivot 7,3982.07
2023-03-30 13:39:00,SPX,4033.47,SPX Bull Pivot Alert: $4033.52,Bull Pivot 1,4035.01,SPXW_033023C4030,8.6
2023-03-31 14:44:00,SPX,4087.79,SPX Bull Pivot Alert: $4087.38,Bull Pivot 7,4089.67,SPXW_033123C4085,8.35
2023-04-03 11:13:00,SPX,4098.79,SPX Bull Pivot Alert: $4098.88,Bull Pivot 1,4101.42,SPXW_040323C4100,9.42
2023-04-03 15:33:00,SPX,4121.67,SPX Bull Pivot Alert: $4121.67,Manual Bull Pivot,4124.7,SPXW_040423C4120,14.68
2023-04-04 09:46:00,SPX,4118.79,SPX Bull Pivot Alert: $4118.79,Manual Bull Pivot,4120.02,SPXW_040423C4120,11.0
2023-04-06 09:58:00,SPX,4069.84,SPX Bull Pivot Alert: $4069.84,Manual Bull Pivot,4071.74,SPXW_040623C4070,12.7
2023-04-18 10:36:00,SPX,4142.86,SPX Bull Pivot Alert: $4142.86,Manual Bull Pivot,4143.58,SPXW_041823C4145,9.1
2023-04-18 11:42:00,SPX,4141.47,SPX Bull Pivot Alert: $4140.36,Bull Pivot 1,4144.86,SPXW_041823C4145,7.9
2023-04-19 09:46:00,SPX,4134.65,SPX Bull Pivot Alert: $4135.45,Bull Pivot 4,4136.43,SPXW_041923C4135,9.9
2023-04-19 09:51:00,SPX,4135.05,SPX Bull Pivot Alert: $4134.54,Bull Pivot 4,4136.6,SPXW_041923C4135,10.2
2023-04-20 11:36:00,SPX,4129.85,SPX Bull Pivot Alert: $4129.85,Manual Bull Pivot,4130.59,SPXW_042023C4130,8.7
2023-04-25 12:06:00,SPX,4100.5,SPX Bull Pivot Alert: $4100.38,Bull Pivot 1,4101.32,SPXW_042523C4100,7.52
2023-04-25 12:37:00,SPX,4097.0,SPX Bull Pivot Alert: $4097.0,Manual Bull Pivot,4097.82,SPXW_042523C4095,8.3
2023-04-25 12:41:00,SPX,4097.64,SPX Bull Pivot Alert: $4097.5,Bull Pivot 7,4099.11,SPXW_042523C4095,9.15
2023-04-25 12:48:00,SPX,4100.54,SPX Bull Pivot Alert: $4100.54,Manual Bull Pivot,4099.18,SPXW_042523P4100,6.2
2023-04-25 12:48:00,SPX,4100.54,SPX Bear Pivot Alert: $4100.54,Manual Bear Pivot,4099.18,SPXW_042523P4100,6.8
2023-04-25 12:52:00,SPX,4097.89,SPX Bull Pivot Alert: $4098.14,Bull Pivot 1,4098.86,SPXW_042523C4095,7.9
2023-04-25 13:11:00,SPX,4095.82,SPX Bull Pivot Alert: $4095.88,Bull Pivot 1,4096.53,SPXW_042523C4095,6.9
2023-04-25 13:22:00,SPX,4086.49,SPX Bull Pivot Alert: $4085.75,Bull Pivot 7,4087.65,SPXW_042523C4085,8.5
2023-04-25 13:50:00,SPX,4080.75,SPX Bull Pivot Alert: $4080.94,Bull Pivot 1,4081.91,SPXW_042523C4080,8.2
2023-04-26 12:38:00,SPX,4076.8,SPX Bull Pivot Alert: $4076.8,Manual Bull Pivot,4078.54,SPXW_042623C4075,9.1
2023-04-26 13:14:00,SPX,4076.31,SPX Bull Pivot Alert: $4075.73,Bull Pivot 4,4077.19,SPXW_042623C4075,7.2
2023-04-26 13:30:00,SPX,4072.57,SPX Bull Pivot Alert: $4072.38,Bull Pivot 7,4073.77,SPXW_042623C4070,7.98
2023-04-26 13:59:00,SPX,4062.64,SPX Bull Pivot Alert: $4061.76,Bull Pivot 1,4064.13,SPXW_042623C4060,8.7
